Catalyst,Ratio of CH4 in Feed,Reaction Temperature,Ni Loading,Reaction Time,Pore Size,Pore Volume,Surface Area,H2-TPR Peak Temperature,Ni Particle Size,Ni Dispersion,Modifier Electronegativity,GHSV,CH4 Conversion,CO2 Conversion,Syngas_Ratio,Paper no.
2.5La–Ni/ZrO2,0.1670,800.0000,10.0000,8.0000,11.2080,0.0200,41.3000,430.0000,21.3000,,1.1000,4662.0000,84.9700,94.2800,1.4600,2021-154
5La–Ni/ZrO2,0.1670,800.0000,10.0000,8.0000,11.2080,0.0230,18.8000,430.0000,35.6000,,1.1000,4662.0000,96.3600,93.3800,1.6100,2021-154
Ni/SiO2-I,0.3000,400.0000,3.1000,20.0000,18.9000,0.6500,127.6000,396.0000,5.5000,,0.0000,60000.0000,1.3300,3.9000,0.2220,2021-155
Ni/SiO2-E,0.3000,400.0000,3.3000,20.0000,25.9000,1.0100,163.4000,357.0000,3.3000,,0.0000,60000.0000,3.3300,6.1000,0.3950,2021-155
Ni/SiO2-I,0.3000,400.0000,3.1000,35.0000,18.9000,0.6500,127.6000,396.0000,5.5000,,0.0000,60000.0000,1.0500,2.5710,0.2160,2021-155
Ni/SiO2-E,0.3000,400.0000,3.3000,35.0000,25.9000,1.0100,163.4000,357.0000,3.3000,,0.0000,60000.0000,3.4290,5.9050,0.3780,2021-155
Ni/SiO2-I,0.3000,450.0000,3.1000,20.0000,18.9000,0.6500,127.6000,396.0000,5.5000,,0.0000,60000.0000,3.6670,8.7780,0.2650,2021-155
Ni/SiO2-E,0.3000,450.0000,3.3000,20.0000,25.9000,1.0100,163.4000,357.0000,3.3000,,0.0000,60000.0000,7.6670,14.7780,0.4430,2021-155
Ni/SiO2-I,0.3000,450.0000,3.1000,35.0000,18.9000,0.6500,127.6000,396.0000,5.5000,,0.0000,60000.0000,3.2200,7.4400,0.2650,2021-155
Ni/SiO2-E,0.3000,450.0000,3.3000,35.0000,25.9000,1.0100,163.4000,357.0000,3.3000,,0.0000,60000.0000,7.2200,14.7800,0.4430,2021-155
Ni/SiO2-I,0.3000,500.0000,3.1000,20.0000,18.9000,0.6500,127.6000,396.0000,5.5000,,0.0000,60000.0000,6.0170,16.5250,0.3000,2021-155
Ni/SiO2-E,0.3000,500.0000,3.3000,20.0000,25.9000,1.0100,163.4000,357.0000,3.3000,,0.0000,60000.0000,15.1690,25.0000,0.5080,2021-155
Ni/SiO2-I,0.3000,500.0000,3.1000,35.0000,18.9000,0.6500,127.6000,396.0000,5.5000,,0.0000,60000.0000,5.6780,15.8470,0.3030,2021-155
Ni/SiO2-E,0.3000,500.0000,3.3000,35.0000,25.9000,1.0100,163.4000,357.0000,3.3000,,0.0000,60000.0000,15.5000,25.0000,0.5000,2021-155
Ni/CAO,0.2500,600.0000,15.0000,1.0000,38.0000,0.3200,29.0000,650.0000,16.4000,6.1000,0.0000,120000.0000,74.3800,75.3100,0.9500,2021-159
Ni/ALO,0.2500,600.0000,15.0000,1.0000,24.0000,0.5400,83.0000,537.0000,12.5000,8.0000,0.0000,120000.0000,82.3000,83.2300,0.9500,2021-159
Ni/CAO,0.2500,700.0000,15.0000,1.0000,38.0000,0.3200,29.0000,650.0000,16.4000,6.1000,0.0000,120000.0000,82.1120,83.1370,0.9750,2021-159
Ni/ALO,0.2500,700.0000,15.0000,1.0000,24.0000,0.5400,83.0000,537.0000,12.5000,8.0000,0.0000,120000.0000,88.2610,89.1000,0.9500,2021-159
Ni/CAO,0.2500,800.0000,15.0000,1.0000,38.0000,0.3200,29.0000,650.0000,16.4000,6.1000,0.0000,120000.0000,90.3100,88.9100,0.9500,2021-159
Ni/ALO,0.2500,800.0000,15.0000,1.0000,24.0000,0.5400,83.0000,537.0000,12.5000,8.0000,0.0000,120000.0000,96.1000,95.0600,0.9500,2021-159
Ni/S-2,0.4000,650.0000,0.3000,25.0000,0.5200,0.3700,467.4000,332.0000,8.5000,9.4000,0.0000,100000.0000,4.5400,11.5800,0.3580,2021-161
Ni/S-2,0.4000,650.0000,0.3000,50.0000,0.5200,0.3700,467.4000,332.0000,8.5000,9.4000,0.0000,100000.0000,2.7950,10.1300,0.3320,2021-161
Ni@S-2-T,0.4000,650.0000,0.3100,25.0000,0.5200,0.3800,509.7000,610.0000,6.3000,15.6000,0.0000,100000.0000,8.7340,17.1180,0.4060,2021-161
Ni@S-2-T,0.4000,650.0000,0.3100,50.0000,0.5200,0.3800,509.7000,610.0000,6.3000,15.6000,0.0000,100000.0000,8.3000,16.4000,0.3980,2021-161
Ni@S-2-C ,0.4000,650.0000,0.3000,25.0000,0.5200,0.3600,516.3000,721.0000,4.1000,18.5000,0.0000,100000.0000,14.0350,21.7500,0.4960,2021-161
Ni@S-2-C ,0.4000,650.0000,0.3000,50.0000,0.5200,0.3600,516.3000,721.0000,4.1000,18.5000,0.0000,100000.0000,14.0000,21.4000,0.4820,2021-161
Ni@S-2-E,0.4000,650.0000,0.3000,25.0000,0.5100,0.3500,528.6000,721.0000,2.6000,20.5000,0.0000,100000.0000,16.1400,23.5100,0.5260,2021-161
Ni@S-2-E,0.4000,650.0000,0.3000,50.0000,0.5100,0.3500,528.6000,721.0000,2.6000,20.5000,0.0000,100000.0000,16.4900,22.8000,0.5200,2021-161
12Ni,0.3000,600.0000,11.0000,0.5000,8.7500,0.4400,201.8500,845.0000,8.1000,15.8000,0.0000,180000.0000,49.5150,42.1400,0.6250,2021-167
0.5Pt-12Ni,0.3000,600.0000,12.0000,0.5000,4.4600,0.2100,189.8000,784.0000,0.6000,10.4300,0.0000,180000.0000,42.9130,33.9800,0.6500,2021-167
1.0Pt-12Ni,0.3000,600.0000,12.0000,0.5000,4.7100,0.2200,188.9300,771.0000,0.4000,10.6800,0.0000,180000.0000,45.2430,34.7570,0.6860,2021-167
12Ni,0.3000,650.0000,11.0000,0.5000,8.7500,0.4400,201.8500,845.0000,8.1000,15.8000,0.0000,180000.0000,67.3790,59.2230,0.7310,2021-167
0.5Pt-12Ni,0.3000,650.0000,12.0000,0.5000,4.4600,0.2100,189.8000,784.0000,0.6000,10.4300,0.0000,180000.0000,56.5000,47.1840,0.7750,2021-167
1.0Pt-12Ni,0.3000,650.0000,12.0000,0.5000,4.7100,0.2200,188.9300,771.0000,0.4000,10.6800,0.0000,180000.0000,60.3880,51.0680,0.8060,2021-167
12Ni,0.3000,700.0000,11.0000,0.5000,8.7500,0.4400,201.8500,845.0000,8.1000,15.8000,0.0000,180000.0000,80.5830,74.7570,0.8280,2021-167
0.5Pt-12Ni,0.3000,700.0000,12.0000,0.5000,4.4600,0.2100,189.8000,784.0000,0.6000,10.4300,0.0000,180000.0000,68.9320,60.7770,0.8810,2021-167
1.0Pt-12Ni,0.3000,700.0000,12.0000,0.5000,4.7100,0.2200,188.9300,771.0000,0.4000,10.6800,0.0000,180000.0000,72.8160,64.2720,0.9170,2021-167
12Ni,0.3000,750.0000,11.0000,0.5000,8.7500,0.4400,201.8500,845.0000,8.1000,15.8000,0.0000,180000.0000,89.1260,86.4000,0.9170,2021-167
0.5Pt-12Ni,0.3000,750.0000,12.0000,0.5000,4.4600,0.2100,189.8000,784.0000,0.6000,10.4300,0.0000,180000.0000,79.4170,72.8160,0.9560,2021-167
1.0Pt-12Ni,0.3000,750.0000,12.0000,0.5000,4.7100,0.2200,188.9300,771.0000,0.4000,10.6800,0.0000,180000.0000,82.9130,78.2520,0.9940,2021-167
Ni@HMS30,0.3330,800.0000,2.6600,50.0000,1.4000,0.5300,72.0000,633.0000,6.3000,14.3000,0.0000,54000.0000,59.2000,81.8000,0.6200,2021-171
Ni@HMS50,0.3330,800.0000,3.7700,50.0000,1.4100,0.9400,203.0000,670.0000,6.5000,10.0000,0.0000,54000.0000,78.7000,92.9000,0.5300,2021-171
Ni@HMS70,0.3330,800.0000,5.2200,50.0000,1.6000,1.3300,510.0000,733.4500,7.6000,14.8000,0.0000,54000.0000,89.0000,97.1000,0.6400,2021-171
Ni@HMS90,0.3330,800.0000,5.7700,50.0000,1.9000,1.6800,799.0000,752.7000,6.5000,19.4000,0.0000,54000.0000,85.8000,97.2000,0.6800,2021-171
Ni@HMS30,0.3330,800.0000,2.6600,30.0000,1.4000,0.5300,72.0000,633.0000,6.3000,14.3000,0.0000,54000.0000,48.5000,76.5000,0.5880,2021-171
Ni@HMS50,0.3330,800.0000,3.7700,30.0000,1.4100,0.9400,203.0000,670.0000,6.5000,10.0000,0.0000,54000.0000,78.9000,92.9000,0.5240,2021-171
Ni@HMS70,0.3330,800.0000,5.2200,30.0000,1.6000,1.3300,510.0000,733.4500,7.6000,14.8000,0.0000,54000.0000,90.6000,97.1000,0.6350,2021-171
Ni@HMS90,0.3330,800.0000,5.7700,30.0000,1.9000,1.6800,799.0000,752.7000,6.5000,19.4000,0.0000,54000.0000,88.3000,97.2000,0.6710,2021-171
Ni@SiO2,0.5000,800.0000,6.4000,10.0000,37.0000,0.7300,96.0000,756.0000,18.2000,18.2000,0.0000,18000.0000,89.8400,90.0000,0.9770,2021-174
In0.1Ni@SiO2,0.5000,800.0000,7.4000,10.0000,22.0000,0.4000,82.0000,725.3000,17.1000,17.1000,1.7800,18000.0000,95.1000,94.8900,1.0670,2021-174
In0.5Ni@SiO2,0.5000,800.0000,6.8000,10.0000,23.0000,0.4100,85.0000,708.6500,19.7000,19.7000,1.7800,18000.0000,91.8700,95.0000,1.0240,2021-174
In1.0Ni@SiO2,0.5000,800.0000,7.2000,10.0000,34.0000,0.7000,87.0000,705.0000,19.1000,19.1000,1.7800,18000.0000,89.0200,92.7000,1.0000,2021-174
In3.0Ni@SiO2,0.5000,800.0000,7.5000,10.0000,24.0000,0.6000,93.0000,522.0000,11.8000,11.8000,1.7800,18000.0000,75.6000,84.3000,0.9300,2021-174
Ni@SiO2,0.5000,800.0000,6.4000,20.0000,37.0000,0.7300,96.0000,756.0000,18.2000,18.2000,0.0000,18000.0000,81.3000,83.5770,0.9260,2021-174
In0.1Ni@SiO2,0.5000,800.0000,7.4000,20.0000,22.0000,0.4000,82.0000,725.3000,17.1000,17.1000,1.7800,18000.0000,94.7200,95.9850,1.0700,2021-174
In0.5Ni@SiO2,0.5000,800.0000,6.8000,20.0000,23.0000,0.4100,85.0000,708.6500,19.7000,19.7000,1.7800,18000.0000,93.9000,96.1000,1.0410,2021-174
In1.0Ni@SiO2,0.5000,800.0000,7.2000,20.0000,34.0000,0.7000,87.0000,705.0000,19.1000,19.1000,1.7800,18000.0000,89.8370,93.1000,1.0000,2021-174
In3.0Ni@SiO2,0.5000,800.0000,7.5000,20.0000,24.0000,0.6000,93.0000,522.0000,11.8000,11.8000,1.7800,18000.0000,75.0000,87.2260,0.9400,2021-174
10Ni-CeAl,0.5000,800.0000,9.4000,24.0000,7.3000,0.5000,208.0000,800.0000,5.0000,,0.0000,270000.0000,72.3760,86.3400,0.9000,2021-183
10Ni-CeAl,0.5000,800.0000,9.4000,48.0000,7.3000,0.5000,208.0000,800.0000,5.0000,,0.0000,270000.0000,70.7200,84.1500,0.9250,2021-183
10Ni-CeAl,0.5000,800.0000,9.4000,72.0000,7.3000,0.5000,208.0000,800.0000,5.0000,,0.0000,270000.0000,70.7200,84.1500,0.8900,2021-183
5Ni-SBA-15,0.3330,750.0000,4.8000,12.0000,5.7950,0.6300,550.0000,365.0000,10.9000,,0.0000,60000.0000,47.3300,67.0400,0.7280,2021-185
10Ni-SBA-15,0.3330,750.0000,10.3000,12.0000,5.6800,0.5600,439.0000,365.0000,11.1000,,0.0000,60000.0000,49.0000,63.9800,0.7300,2021-185
5Ni9Ce-SBA-15,0.3330,750.0000,5.0000,12.0000,5.5000,0.5200,421.0000,365.0000,2.6000,,1.1200,60000.0000,76.0000,95.2430,0.8850,2021-185
10Ni9Ce-SBA-15,0.3330,750.0000,9.9000,12.0000,5.3000,0.4600,377.0000,335.0000,6.1000,,1.1200,60000.0000,74.0000,83.6890,0.9180,2021-185
10Ni18Ce-SBA-15,0.3330,750.0000,9.5000,12.0000,5.0000,0.3600,314.0000,335.0000,14.6000,,1.1200,60000.0000,61.3330,85.0500,0.8340,2021-185
5Ni-SBA-15,0.3330,750.0000,4.8000,24.0000,5.8000,0.6300,550.0000,365.0000,10.9000,,0.0000,60000.0000,43.6770,67.0400,0.7070,2021-185
10Ni-SBA-15,0.3330,750.0000,10.3000,24.0000,5.6800,0.5600,439.0000,365.0000,11.1000,,0.0000,60000.0000,47.0000,65.0000,0.7330,2021-185
5Ni9Ce-SBA-15,0.3330,750.0000,5.0000,24.0000,5.5000,0.5200,421.0000,365.0000,2.6000,,1.1200,60000.0000,74.6670,95.5800,0.8700,2021-185
10Ni9Ce-SBA-15,0.3330,750.0000,9.9000,24.0000,5.3000,0.4600,377.0000,335.0000,6.1000,,1.1200,60000.0000,70.3330,88.1100,0.9110,2021-185
10Ni18Ce-SBA-15,0.3330,750.0000,9.5000,24.0000,5.0000,0.3600,314.0000,335.0000,14.6000,,1.1200,60000.0000,60.0000,82.0000,0.8270,2021-185
Ni/MgAl2O4,0.5000,800.0000,4.5700,5.0000,15.0000,0.3600,56.0000,850.0000,8.0000,,0.0000,120000.0000,74.6150,85.4720,0.6570,2021-186
0.2 K-Ni/ MgAl2O4,0.5000,800.0000,4.1700,10.0000,12.0000,0.3700,59.0000,910.0000,8.0000,,0.8200,120000.0000,83.3330,88.1130,0.7380,2021-186
0.4 K-Ni/ MgAl2O4,0.5000,800.0000,4.6100,10.0000,16.0000,0.5800,78.0000,640.0000,7.0000,,0.8200,120000.0000,83.3330,91.5000,0.6540,2021-186
0.5 K-Ni/MgAl2O4,0.5000,800.0000,4.4400,9.0000,16.0000,0.6000,76.0000,900.0000,7.0000,,0.8200,120000.0000,83.3330,92.2500,0.6220,2021-186
0.7 K-Ni/ MgAl2O4,0.5000,800.0000,4.1600,10.0000,12.0000,0.4200,63.0000,900.0000,9.0000,,0.8200,120000.0000,71.2820,71.8870,0.5870,2021-186
Ni/Al2O3 -Imp,0.3330,800.0000,12.0000,8.0000,14.1800,0.2700,76.0000,751.0000,12.6000,,0.0000,24000.0000,68.9300,81.2760,0.8830,2021-188
Ni/Al2O3 -Nit,0.3330,800.0000,10.9000,10.0000,14.4300,0.7740,214.0000,659.5160,6.6000,,0.0000,24000.0000,91.2000,96.7000,0.9760,2021-188
Ni/Al2O3 -Ole,0.3330,800.0000,10.3000,10.0000,7.4700,0.4020,215.0000,660.0000,4.5000,,0.0000,24000.0000,91.7700,97.5000,0.9950,2021-188
Ni/Al2O3 -Nit,0.3330,800.0000,10.9000,20.0000,14.4300,0.7740,214.0000,659.5160,6.6000,,0.0000,24000.0000,90.7000,96.5000,0.9800,2021-188
Ni/Al2O3 -Ole,0.3330,800.0000,10.3000,20.0000,7.4700,0.4020,215.0000,660.0000,4.5000,,0.0000,24000.0000,92.3800,97.3250,0.9900,2021-188
Ni/Al2O3 -Nit,0.3330,800.0000,10.9000,30.0000,14.4300,0.7740,214.0000,659.5160,6.6000,,0.0000,24000.0000,90.5200,96.9100,0.9850,2021-188
Ni/Al2O3 -Ole,0.3330,800.0000,10.3000,30.0000,7.4700,0.4020,215.0000,660.0000,4.5000,,0.0000,24000.0000,92.1810,97.5310,0.9850,2021-188
Ni/Ce,0.3330,650.0000,2.1100,12.0000,15.0000,0.0800,70.0000,334.0000,5.4000,,0.0000,108000.0000,26.8000,38.2200,0.5000,2021-192
Ni/Ce,0.3330,650.0000,2.1100,24.0000,15.0000,0.0800,70.0000,334.0000,5.4000,,0.0000,108000.0000,22.8000,38.5000,0.4780,2021-192
Ni/La-SG,0.3330,800.0000,5.9000,25.0000,14.7000,0.0900,11.6000,658.0000,13.6000,,0.0000,30000.0000,78.2300,87.0600,0.8900,2021-203
Ni/La-HP,0.3330,800.0000,6.5000,25.0000,11.8000,0.1500,26.0000,630.0000,14.1000,,0.0000,30000.0000,86.6900,91.9600,0.9540,2021-203
Ni/La-ME,0.3330,800.0000,6.1000,25.0000,21.5000,0.2400,22.5000,692.6000,15.9000,,0.0000,30000.0000,93.5500,94.7550,0.9920,2021-203
Ni/La-SC,0.3330,800.0000,6.0000,25.0000,11.6000,0.2600,45.4000,665.0000,12.1000,,0.0000,30000.0000,97.1770,97.5500,1.0300,2021-203
Ni/La-ST,0.3330,800.0000,6.3000,25.0000,10.2000,0.0600,11.7000,675.0000,16.9000,,0.0000,30000.0000,47.9840,61.5380,0.7040,2021-203
Ni/La-SG,0.3330,800.0000,5.9000,50.0000,14.7000,0.0900,11.6000,658.0000,13.6000,,0.0000,30000.0000,83.0650,89.1610,0.8900,2021-203
Ni/La-HP,0.3330,800.0000,6.5000,50.0000,11.8000,0.1500,26.0000,630.0000,14.1000,,0.0000,30000.0000,86.2900,91.2600,0.9540,2021-203
Ni/La-ME,0.3330,800.0000,6.1000,50.0000,21.5000,0.2400,22.5000,692.6000,15.9000,,0.0000,30000.0000,92.7420,94.7550,0.9920,2021-203
Ni/La-SC,0.3330,800.0000,6.0000,50.0000,11.6000,0.2600,45.4000,665.0000,12.1000,,0.0000,30000.0000,96.0000,97.5520,1.0300,2021-203
Ni/La-ST,0.3330,800.0000,6.3000,50.0000,10.2000,0.0600,11.7000,675.0000,16.9000,,0.0000,30000.0000,42.7420,59.7900,0.6580,2021-203
Ni/La-SG,0.3330,800.0000,5.9000,75.0000,14.7000,0.0900,11.6000,658.0000,13.6000,,0.0000,30000.0000,84.6770,91.2590,0.9050,2021-203
Ni/La-HP,0.3330,800.0000,6.5000,75.0000,11.8000,0.1500,26.0000,630.0000,14.1000,,0.0000,30000.0000,87.0000,92.3000,0.9540,2021-203
Ni/La-ME,0.3330,800.0000,6.1000,75.0000,21.5000,0.2400,22.5000,692.6000,15.9000,,0.0000,30000.0000,91.9350,94.7550,0.9920,2021-203
Ni/La-SC,0.3330,800.0000,6.0000,75.0000,11.6000,0.2600,45.4000,665.0000,12.1000,,0.0000,30000.0000,96.3700,97.5500,1.0230,2021-203
Ni/La-ST,0.3330,800.0000,6.3000,75.0000,10.2000,0.0600,11.7000,675.0000,16.9000,,0.0000,30000.0000,39.5200,57.3430,0.6350,2021-203
Ni/La-SG,0.3330,800.0000,5.9000,100.0000,14.7000,0.0900,11.6000,658.0000,13.6000,,0.0000,30000.0000,86.3000,90.6000,0.9130,2021-203
Ni/La-HP,0.3330,800.0000,6.5000,100.0000,11.8000,0.1500,26.0000,630.0000,14.1000,,0.0000,30000.0000,87.9000,92.3000,0.9660,2021-203
Ni/La-ME,0.3330,800.0000,6.1000,100.0000,21.5000,0.2400,22.5000,692.6000,15.9000,,0.0000,30000.0000,92.3400,95.4550,1.0000,2021-203
Ni/La-SC,0.3330,800.0000,6.0000,100.0000,11.6000,0.2600,45.4000,665.0000,12.1000,,0.0000,30000.0000,96.7700,97.2000,1.0380,2021-203
Ni/La-ST,0.3330,800.0000,6.3000,100.0000,10.2000,0.0600,11.7000,675.0000,16.9000,,0.0000,30000.0000,38.7100,58.0400,0.6130,2021-203
Ni/MgO-Al2O3,0.2500,800.0000,10.0000,10.0000,25.1000,0.2030,108.8000,790.0000,10.3000,,0.0000,48000.0000,85.1600,90.3100,0.9410,2021-217
5AC-Ni/MgO-Al2O3,0.2500,800.0000,10.0000,10.0000,25.1000,0.2800,123.1000,780.0000,8.2000,,0.0000,48000.0000,86.8800,93.9000,0.9440,2021-217
10AC-Ni/MgO-Al2O3,0.2500,800.0000,10.0000,10.0000,25.1000,0.3550,125.4000,780.0000,8.1000,,0.0000,48000.0000,89.6900,95.1560,0.9490,2021-217
15AC-Ni/MgO-Al2O3,0.2500,800.0000,10.0000,10.0000,25.1000,0.2610,121.4000,780.0000,8.3000,,0.0000,48000.0000,88.2800,93.7500,0.9470,2021-217
20AC-Ni/MgO-Al2O3,0.2500,800.0000,10.0000,10.0000,25.1000,0.2270,115.7000,780.0000,8.2000,,0.0000,48000.0000,86.4000,91.0900,0.9440,2021-217
50AC-Ni/MgO-Al2O3,0.2500,800.0000,10.0000,10.0000,25.1000,0.2420,119.0000,780.0000,8.1000,,0.0000,48000.0000,86.2500,90.9000,0.9440,2021-217
Ni/MgO-Al2O3,0.2500,800.0000,10.0000,20.0000,25.1000,0.2030,108.8000,790.0000,10.3000,,0.0000,48000.0000,83.7000,90.9000,0.9350,2021-217
10AC-Ni/MgO-Al2O3,0.2500,800.0000,10.0000,20.0000,25.1000,0.3550,125.4000,780.0000,8.1000,,0.0000,48000.0000,90.4200,94.2500,0.9520,2021-217
Ni/MgO-Al2O3,0.2500,800.0000,10.0000,30.0000,25.1000,0.2030,108.8000,790.0000,10.3000,,0.0000,48000.0000,82.7500,88.5000,0.9150,2021-217
10AC-Ni/MgO-Al2O3,0.2500,800.0000,10.0000,30.0000,25.1000,0.3550,125.4000,780.0000,8.1000,,0.0000,48000.0000,89.4600,92.8100,0.9440,2021-217
Ni3Nd7,0.5000,750.0000,11.1000,12.0000,69.3000,0.0300,8.0000,334.7000,16.5000,,1.1400,48000.0000,28.2100,39.4230,0.6040,2021-218
Ni5Nd5,0.5000,750.0000,20.2000,12.0000,40.3000,0.0900,15.0000,349.4000,14.2000,,1.1400,48000.0000,43.5900,52.2440,0.7390,2021-218
Ni7Nd3,0.5000,750.0000,32.0000,12.0000,18.2000,0.1200,29.0000,351.5000,14.0000,,1.1400,48000.0000,40.3850,49.0380,0.6930,2021-218
Ni9Nd1,0.5000,750.0000,51.1000,6.0000,26.7000,0.0070,0.7300,720.3600,20.2000,,1.1400,48000.0000,21.7950,22.4360,0.7640,2021-218
Ni3Nd7,0.5000,750.0000,11.1000,24.0000,69.3000,0.0300,8.0000,334.7000,16.5000,,1.1400,48000.0000,13.4600,18.5900,0.3460,2021-218
Ni5Nd5,0.5000,750.0000,20.2000,24.0000,40.3000,0.0900,15.0000,349.4000,14.2000,,1.1400,48000.0000,38.4620,49.0380,0.7210,2021-218
Ni7Nd3,0.5000,750.0000,32.0000,24.0000,18.2000,0.1200,29.0000,351.5000,14.0000,,1.1400,48000.0000,39.7440,45.1920,0.7100,2021-218
5%Ni/ La2O3–S,0.5000,700.0000,4.4000,25.0000,25.3000,0.0600,15.0000,607.0000,28.7000,1.2000,0.0000,18000.0000,44.1000,58.4230,0.7000,2021-221
5%Ni/ La2O3- HT,0.5000,700.0000,4.5000,25.0000,22.2000,0.0500,18.3000,606.0000,22.6000,1.3000,0.0000,18000.0000,55.9100,62.3660,0.7460,2021-221
5%Ni/ La2O3- KIT-6,0.5000,700.0000,4.4000,25.0000,10.8000,0.1900,55.3000,605.0000,10.7000,5.4000,0.0000,18000.0000,65.5900,75.2700,0.7900,2021-221
5%Ni/ La2O3–S,0.5000,700.0000,4.4000,50.0000,25.3000,0.0600,15.0000,607.0000,28.7000,1.2000,0.0000,18000.0000,40.8600,54.8400,0.6840,2021-221
5%Ni/ La2O3- HT,0.5000,700.0000,4.5000,50.0000,22.2000,0.0500,18.3000,606.0000,22.6000,1.3000,0.0000,18000.0000,53.4050,62.7240,0.7400,2021-221
5%Ni/ La2O3- KIT-6,0.5000,700.0000,4.4000,50.0000,10.8000,0.1900,55.3000,605.0000,10.7000,5.4000,0.0000,18000.0000,65.2330,74.5500,0.7900,2021-221
Ni05%@S Reduced,0.5000,650.0000,4.5000,6.0000,4.0000,0.5500,421.0000,640.0000,2.1000,,0.0000,960000.0000,41.1110,40.1100,0.9600,2021-222
Ni05%@S Reduced,0.5000,650.0000,4.5000,12.0000,4.0000,0.5500,421.0000,640.0000,2.1000,,0.0000,960000.0000,40.0000,39.5800,0.9600,2021-222
2Ni/Al,0.3300,700.0000,2.0000,75.0000,7.7000,0.7400,193.3000,700.0000,7.7000,10.4000,0.0000,36000.0000,42.0000,50.0000,0.6500,2022-3
2Ni/Al,0.3300,700.0000,2.0000,40.0000,7.7000,0.7400,193.3000,700.0000,7.7000,10.4000,0.0000,36000.0000,44.0200,57.8310,0.7200,2022-3
2Ni/Al,0.3300,700.0000,2.0000,20.0000,7.7000,0.7400,193.3000,700.0000,7.7000,10.4000,0.0000,36000.0000,47.1700,60.8760,0.7280,2022-3
2Ni/H-Al,0.3300,700.0000,2.0000,120.0000,5.9000,0.7600,140.6000,700.0000,5.9000,13.6000,0.0000,36000.0000,74.0000,84.0000,0.9600,2022-3
2Ni/H-Al,0.3300,700.0000,2.0000,80.0000,5.9000,0.7600,140.6000,700.0000,5.9000,13.6000,0.0000,36000.0000,75.2200,85.4200,0.9650,2022-3
2Ni/H-Al,0.3300,700.0000,2.0000,40.0000,5.9000,0.7600,140.6000,700.0000,5.9000,13.6000,0.0000,36000.0000,76.2000,85.7400,0.9720,2022-3
2Ni/H-Al,0.3300,700.0000,2.0000,80.0000,5.9000,0.7600,140.6000,700.0000,5.9000,13.6000,0.0000,100000.0000,50.0000,67.0000,0.9600,2022-3
5Ni/Al,0.3300,700.0000,5.0000,50.0000,7.9000,0.7200,175.5000,700.0000,7.9000,10.1000,0.0000,36000.0000,70.0000,65.0000,0.7920,2022-3
5Ni/Al,0.3300,700.0000,5.0000,25.0000,7.9000,0.7200,175.5000,700.0000,7.9000,10.1000,0.0000,36000.0000,77.0000,68.5400,0.8460,2022-3
5Ni/H-Al,0.3300,700.0000,5.0000,80.0000,7.1000,0.7700,129.3000,544.0000,7.1000,11.3000,0.0000,36000.0000,79.5300,85.8480,0.9400,2022-3
5Ni/H-Al,0.3300,700.0000,5.0000,40.0000,7.1000,0.7700,129.3000,544.0000,7.1000,11.3000,0.0000,36000.0000,80.0000,84.9120,0.9630,2022-3
NiAl-500,0.3300,600.0000,10.0000,4.0000,14.1000,0.1500,96.0000,600.0000,11.6000,8.6000,0.0000,36000.0000,46.1000,32.3000,0.5700,2022-10
NiAl-500,0.3300,750.0000,10.0000,4.0000,14.1000,0.1500,96.0000,600.0000,11.6000,8.6000,0.0000,36000.0000,86.9000,76.2000,0.6100,2022-10
NiAl-850,0.3300,600.0000,10.0000,4.0000,35.9000,0.1200,75.0000,750.0000,38.4000,2.6000,0.0000,36000.0000,44.8000,29.0000,0.5300,2022-10
NiAl-850,0.3300,750.0000,10.0000,4.0000,35.9000,0.1200,75.0000,750.0000,38.4000,2.6000,0.0000,36000.0000,85.0000,74.7000,0.6100,2022-10
NHS-SiO2-S,0.5000,750.0000,9.0000,0.5000,10.8500,0.3700,143.8800,680.0000,2.5000,,0.0000,24000.0000,94.0000,89.0000,0.8700,2022-11
NHS-SiO2-S,0.5000,750.0000,9.0000,0.5000,10.8500,0.3700,143.8800,680.0000,2.5000,,0.0000,60000.0000,91.0000,85.0000,0.8500,2022-11
NHS-SiO2-S,0.5000,750.0000,9.0000,0.5000,10.8500,0.3700,143.8800,680.0000,2.5000,,0.0000,120000.0000,80.0000,69.0000,0.7700,2022-11
Ce-NHS-SiO2-S,0.5000,750.0000,9.0000,0.5000,10.8500,0.3700,143.8800,680.0000,2.5000,,1.1200,24000.0000,94.0000,88.0000,0.8500,2022-11
Ce-NHS-SiO2-S,0.5000,750.0000,9.0000,0.5000,10.8500,0.3700,143.8800,680.0000,2.5000,,1.1200,120000.0000,67.0000,53.0000,0.7000,2022-11
NHS-SiO2-S,0.5000,750.0000,9.0000,50.0000,10.8500,0.3700,143.8800,680.0000,2.5000,,0.0000,120000.0000,57.4000,61.2000,0.4000,2022-11
NHS-SiO2-S,0.5000,750.0000,9.0000,25.0000,10.8500,0.3700,143.8800,680.0000,2.5000,,0.0000,120000.0000,59.9000,63.3000,0.4200,2022-11
Ce-NHS-SiO2-S,0.5000,750.0000,9.0000,50.0000,10.8500,0.3700,143.8800,680.0000,2.5000,,1.1200,120000.0000,43.4000,47.1000,0.4460,2022-11
